100 54.000000 140.000000 86.000000
500 396.000000 582.000000 186.000000
750 642.000000 866.000000 224.000000
1000 852.000000 1110.000000 258.000000
1250 1078.000000 1366.000000 288.000000
1500 1328.000000 1642.000000 314.000000
1750 1564.000000 1896.000000 332.000000
2000 1806.000000 2168.000000 362.000000
2250 2040.000000 2416.000000 376.000000
2500 2278.000000 2680.000000 402.000000
2750 2528.000000 2940.000000 412.000000
3000 2748.000000 3184.000000 436.000000
3250 3000.000000 3448.000000 448.000000
3500 3258.000000 3716.000000 458.000000
3750 3498.000000 3980.000000 482.000000
4000 3742.000000 4242.000000 500.000000
4250 3968.000000 4480.000000 512.000000
4500 4210.000000 4746.000000 536.000000
4750 4476.000000 5008.000000 532.000000
5000 4712.000000 5268.000000 556.000000
5250 4946.000000 5518.000000 572.000000
5500 5194.000000 5764.000000 570.000000
5750 5446.000000 6030.000000 584.000000
6000 5682.000000 6282.000000 600.000000
6250 5924.000000 6540.000000 616.000000
6500 6154.000000 6786.000000 632.000000
6750 6394.000000 7024.000000 630.000000
7000 6624.000000 7278.000000 654.000000
7250 6908.000000 7578.000000 670.000000
7500 7116.000000 7788.000000 672.000000
7750 7352.000000 8042.000000 690.000000
8000 7608.000000 8310.000000 702.000000

