172225.0 -18.0741071537
156025.0 -16.4261887207
148225.0 -15.8354387464
140625.0 -14.9961476026
133225.0 -14.4548587332
126025.0 -13.8352969455
119025.0 -13.3497435773
112225.0 -12.6111603961
105625.0 -12.088729507
99225.0 -11.5180011405
93025.0 -10.9657061695
87025.0 -10.473455382
81225.0 -9.95919607337
75625.0 -9.48389254372
70225.0 -9.00390798055
65025.0 -8.56473857885
60025.0 -8.13906371094
55225.0 -7.72444181887
50625.0 -7.31981375488
46225.0 -6.93937525954
42025.0 -6.57912680498
38025.0 -6.2299530242
34225.0 -5.90414996445
30625.0 -5.59361094746
27225.0 -5.29956924452
24025.0 -5.02514556146
21025.0 -4.76418823233
18225.0 -4.52267678318
15625.0 -4.29749697317
13225.0 -4.09038029886
11025.0 -3.90081223987
9025.0 -3.72699739937
7225.0 -3.57253718329
5625.0 -3.43417475655
4225.0 -3.31313153648
3025.0 -3.20916638682
2025.0 -3.12291519092
1225.0 -3.05442982633
625.0 -3.00245332219
225.0 -2.96754996588
25.0 -2.95020424763
25.0 -2.94985339067
