1,501	0.14349315
1,600	0.1651755
1,700	0.18887363
1,800	0.22152779
1,900	0.25676638
1,900	0.2609489
2,000	0.29963768
2,050	0.32352942
2,100	0.34413883
2,150	0.37831566
2,200	0.39802632
2,250	0.41503268
2,300	0.43265307
2,350	0.44267517
2,400	0.44462025
2,425	0.44500631
2,450	0.44046864
2,400	0.44528779
2,475	0.4348793
2,500	0.4307594
2,525	0.4219248
2,550	0.41581634
2,575	0.4056302
2,600	0.39814815
2,625	0.38700384
2,650	0.37864077
2,675	0.36907083
2,700	0.35946649
2,725	0.34996718
2,750	0.33848685
2,775	0.32931158
2,800	0.32669869
2,850	0.30269694
2,900	0.29011887
3,000	0.25985914
3,150	0.22494817
3,200	0.21433567
3,320	0.19770642
3,400	0.18557169
3,500	0.17405063
3,600	0.16202873
3,700	0.15223214
3,800	0.14457296
3,900	0.13716814
4,000	0.13062665
4,500	0.10576923
5,000	0.0891774893
6,000	0.0685859472
