0.000008 0.755605 0.532767 -0.736924 -0.082700 -0.562082 1.000000
0.047045 0.679296 0.383502 0.357729 0.869386 0.038833 1.000000
0.830965 0.053462 0.671149 -0.930856 0.059400 -0.984604 1.000000
0.383416 0.417486 0.588977 -0.866316 0.373545 0.860873 1.000000
0.846167 0.091965 0.415999 0.053858 0.307838 0.402381 1.000000
0.910321 0.262453 0.736082 0.524396 -0.905071 -0.343532 1.000000
0.632639 0.991037 0.247039 0.512821 -0.269323 0.965101 1.000000
0.722660 0.651519 0.631635 0.506712 -0.854628 0.769414 1.000000
0.272710 0.766495 0.237774 -0.127177 -0.044536 -0.450186 1.000000
0.359265 0.486517 0.909208 -0.666986 0.795313 -0.878871 1.000000
0.904653 0.516292 0.986642 0.009046 -0.361934 -0.012047 1.000000
0.266145 0.947764 0.500707 -0.818534 -0.852502 -0.231716 1.000000
0.277082 0.529747 0.940980 0.827635 -0.071108 -0.899832 1.000000
0.761514 0.827817 0.015868 0.540409 -0.749269 0.376911 1.000000
0.868247 0.736225 0.999458 0.259087 0.450824 0.777144 1.000000
0.233195 0.351015 0.591114 -0.387356 0.026547 0.691963 1.000000
0.412081 0.269317 0.537304 0.683021 -0.169211 -0.064165 1.000000
0.287212 0.153720 0.802406 -0.643345 0.143310 -0.933892 1.000000
0.534450 0.955361 0.554584 -0.003040 0.496585 0.781475 1.000000
0.624849 0.159768 0.714710 0.684079 -0.574497 -0.739145 1.000000
